Constituency,County,URL
Starehe,Nairobi City,https://forms.iebc.or.ke/form/formB/0472890000000/uploaded/1_0472890000000_34_B_20220814_195130.pdf
Westlands,Nairobi City,https://forms.iebc.or.ke/form/formB/0472740000000/uploaded/1_0472740000000_34_B_20220813_151859.pdf
Bahati,Nakuru,https://forms.iebc.or.ke/form/formB/0321740000000/uploaded/1_0321740000000_34_B_20220812_164325.pdf
Gilgil,Nakuru,https://forms.iebc.or.ke/form/formB/0321690000000/uploaded/1_0321690000000_34_B_20220811_200926.pdf
Kuresoi North,Nakuru,https://forms.iebc.or.ke/form/formB/0321710000000/uploaded/1_0321710000000_34_B_20220811_015444.pdf
Kuresoi South,Nakuru,https://forms.iebc.or.ke/form/formB/0321700000000/uploaded/1_0321700000000_34_B_20220811_103552.pdf
Molo,Nakuru,https://forms.iebc.or.ke/form/formB/0321660000000/uploaded/1_0321660000000_34_B_20220811_144358.pdf
Naivasha,Nakuru,https://forms.iebc.or.ke/form/formB/0321680000000/uploaded/1_0321680000000_34_B_20220812_114953.pdf
Nakuru Town East,Nakuru,https://forms.iebc.or.ke/form/formB/0321760000000/uploaded/1_0321760000000_34_B_20220812_013251.pdf
Nakuru Town West,Nakuru,https://forms.iebc.or.ke/form/formB/0321750000000/uploaded/1_0321750000000_34_B_20220811_164717.pdf
Njoro,Nakuru,https://forms.iebc.or.ke/form/formB/0321670000000/uploaded/1_0321670000000_34_B_20220812_111150.pdf
Rongai,Nakuru,https://forms.iebc.or.ke/form/formB/0321730000000/uploaded/1_0321730000000_34_B_20220811_214035.pdf
Subukia,Nakuru,https://forms.iebc.or.ke/form/formB/0321720000000/uploaded/1_0321720000000_34_B_20220811_141845.pdf
Aldai,Nandi,https://forms.iebc.or.ke/form/formB/0291520000000/uploaded/1_0291520000000_34_B_20220811_104303.pdf
